ENS,Nt,Ns,beta,as_bare_mass,as_epsilon,ps_N_source,ps_N_sink,ps_ti,ps_tf,ps_chisquare/dof,m_ps,m_ps_error,v_N_source,v_N_sink,v_ti,v_tf,v_chisquare/dof,m_v,m_v_error,r_ps_v,r_ps_v_error
QB1,48,24,7.62,-0.8,0.01,100,0,8,24,0.57,1.1423986744852477,0.000683884853792005,100,0,8,24,0.65,1.1880496166773122,0.0008477012392307248,0.9615748858033899,0.0003022534344734318
QB1,48,24,7.62,-0.9,0.01,100,20,15,23,0.32,0.9608351921102709,0.0007691872696294899,100,20,8,24,0.44,1.0250784681040037,0.0008852153375560334,0.9373284309516735,0.0006613441535874287
QB1,48,24,7.62,-0.95,0.01,100,0,14,23,0.48,0.8601889053852654,0.0007032039342869112,100,0,10,24,0.61,0.9375844992252835,0.0009908080993742407,0.9174521401495339,0.0007286111395865547
QB1,48,24,7.62,-1.0,0.01,100,0,14,23,0.63,0.7497202797858517,0.0007046970545745435,100,0,10,24,0.82,0.84546739761495,0.0011081671979511487,0.8867524423777907,0.0009594243386982226
QB1,48,24,7.62,-1.05,0.01,100,0,10,23,0.44,0.6251606814625454,0.0006888983113074731,100,0,15,24,0.6,0.7488908886406052,0.0019029963451646648,0.8347820636426007,0.001936200710381475
QB1,48,24,7.62,-1.1,0.08,100,0,12,24,0.46,0.4781173970213471,0.0006179962054281285,100,0,12,24,1.52,0.6460172507998256,0.002242044904979701,0.7401000459808095,0.0026618318115897432
QB1,48,24,7.62,-1.15,0.1,100,0,10,24,0.82,0.2775760652275743,0.0008111095917742728,100,0,7,18,0.53,0.5247446971919971,0.0030738757955532936,0.5289735498289616,0.0031708672547302585
QB1,48,24,7.62,-1.12,0.18,60,0,12,24,0.64,0.4081122003933959,0.0006621677529413672,60,0,9,20,1.33,0.5962125782005226,0.002314221989754839,0.6845078673535407,0.0026206322489891187
QB1,48,24,7.62,-1.14,0.18,60,0,12,24,0.83,0.3263212294581473,0.0007644274321815803,60,0,9,20,0.68,0.5489449490790164,0.003342459136192466,0.5944516476663598,0.0038043214311788143
QB2,60,48,7.7,-0.89,0.02,50,0,24,30,0.84,0.8954129438988312,0.0006487336324476622,50,20,16,28,1.27,0.9570346336825708,0.0008831292172711835,0.9356118497544591,0.0009142709703030549
QB2,60,48,7.7,-0.91,0.02,50,0,17,29,1.42,0.8543086195128768,0.000494282909567878,50,0,14,25,1.5,0.921167133747875,0.0009167949485082705,0.9274197789026878,0.0007745594005539314
QB2,60,48,7.7,-0.92,0.02,50,0,17,29,1.41,0.8331288600527964,0.0004983652990773191,50,0,17,27,1.58,0.9018349768522121,0.0010214501780391183,0.9238152006044063,0.0008784336183349506
QB2,60,48,7.7,-0.93,0.02,50,0,23,29,0.79,0.8114083564438471,0.000631290752339142,50,0,16,25,1.33,0.8836790307321883,0.0010779945744919806,0.9182161488787846,0.0011563145870769898
QB2,60,48,7.7,-0.97,0.02,50,0,24,30,0.64,0.720465092482995,0.0006369478543166718,50,0,16,25,0.85,0.8067437876771888,0.0012119222948152597,0.8930531644469043,0.0014281174710260025
QB2,60,48,7.7,-1.01,0.02,50,0,24,30,0.63,0.6204922254874305,0.0006445601543147994,50,0,16,25,0.54,0.7260779190786133,0.0014662289620902547,0.8545807676878948,0.0017763239999808444
QB2,60,48,7.7,-1.09,0.12,50,0,24,30,1.11,0.3694871336799853,0.0006545181365142927,50,0,16,25,0.45,0.5498254454170178,0.003931040213920656,0.6720080650318866,0.004944608954122409
QB2,60,48,7.7,-1.1,0.12,50,0,23,30,0.78,0.32806875365063015,0.0006867968989913154,50,0,15,23,0.51,0.5227490418511276,0.004727664870216142,0.6275836536952659,0.005641625187374433
QB2,60,48,7.7,-1.11,0.14,50,0,23,30,0.61,0.2813854135878505,0.0006934348615533215,50,0,15,23,0.49,0.4958815650241596,0.006635372003011564,0.5674447961664824,0.007588089870490533
QB2,60,48,7.7,-1.12,0.2,50,0,18,29,1.33,0.22629694750150314,0.0006294428991744372,50,0,12,21,0.58,0.4562526259158733,0.005876823877388138,0.4959904549529742,0.006173350363835151
QB3,60,48,7.85,-0.85,0.01,50,0,21,29,0.33,0.8337222710356118,0.0006356570619610036,50,0,19,29,0.47,0.8852966303162053,0.0009668415731793889,0.9417434139987945,0.0007419468250986494
QB3,60,48,7.85,-0.87,0.01,50,0,21,29,0.38,0.7911515058081535,0.0006269157839002837,50,0,19,29,0.48,0.8472458402722284,0.001004413547026961,0.9337921394266732,0.0008344704441625161
QB3,60,48,7.85,-0.9,0.01,50,0,21,29,0.49,0.7242202523068757,0.000628961283875018,50,0,19,28,0.57,0.788280109311156,0.0011273988898784504,0.9187346525079018,0.0010934411850223036
QB3,60,48,7.85,-0.93,0.01,50,0,21,29,0.65,0.6528379071717023,0.0006566106274626948,50,0,19,29,0.61,0.727015766428634,0.0012466707522603704,0.8979693939495696,0.0012807795545365375
QB3,60,48,7.85,-0.97,0.01,50,0,16,25,0.32,0.5493324631124089,0.0005924072474315922,50,0,15,26,0.75,0.6406163168198042,0.0013150132028901806,0.857506199404109,0.0014056695048706436
QB3,60,48,7.85,-0.99,0.01,50,0,16,25,0.28,0.49152894902841293,0.000597242905409523,50,0,15,26,0.92,0.5953126153653054,0.001455106651037541,0.8256652661842097,0.0017772703553362579
QB3,60,48,7.85,-1.01,0.01,50,0,16,25,0.27,0.4283562802782066,0.0005961025321681301,50,0,15,26,1.0,0.5483592052743054,0.0016888097870024765,0.7811600063573844,0.0023893576035085573
QB3,60,48,7.85,-1.03,0.01,50,0,15,25,0.29,0.35724769128191414,0.0005980452816214954,50,0,14,26,0.83,0.4994439211806807,0.0020586402751953115,0.7152908988007782,0.002943934777996482
QB3,60,48,7.85,-1.04,0.16,50,0,15,25,0.39,0.31740830419797894,0.0005447095686924031,50,0,12,21,0.73,0.47085231376817377,0.0017841463816163916,0.6741143558535349,0.002580635664888642
QB3,60,48,7.85,-1.05,0.18,50,0,15,25,0.42,0.2727597063544006,0.0005179474633216219,50,0,12,21,0.78,0.44349926149457486,0.0021103208457117217,0.6150172729379779,0.003070342606494969
QB3,60,48,7.85,-1.06,0.2,50,0,15,29,0.93,0.22070576594015695,0.0005252789659777046,50,0,12,23,0.95,0.41570077839703595,0.002702035308508377,0.5309245914602565,0.0037560525716348048
QB4,60,48,8.0,-0.81,0.1,50,0,18,30,1.0,0.791485492521462,0.00042990059158176663,50,0,19,30,1.61,0.8297588840871292,0.0006427643061741595,0.953874080410993,0.0004749820280274264
QB4,60,48,8.0,-0.82,0.01,60,0,19,30,0.88,0.7701400031514405,0.0004524869166568912,60,0,19,30,1.32,0.809507878666296,0.0006756073822252739,0.9513681379114974,0.0005070186580135028
QB4,60,48,8.0,-0.84,0.01,60,0,18,30,0.76,0.7263251071298285,0.00046772727191379815,60,0,19,30,1.33,0.7692594853099097,0.0007050192329076665,0.9441873919009469,0.0005714339552347347
QB4,60,48,8.0,-0.91,0.01,60,0,18,30,0.69,0.5572268060122609,0.0005013778696634219,60,0,19,30,1.06,0.618884273698399,0.000929164959986184,0.9003731871910746,0.0011424599191492968
QB4,60,48,8.0,-0.93,0.01,60,0,18,30,0.77,0.5026394037907784,0.0004896542062997611,60,0,19,30,1.08,0.5725346855172212,0.0010394701992261224,0.8779195680287908,0.0013834048659279174
QB4,60,48,8.0,-0.95,0.01,60,0,18,30,0.92,0.4438542981130525,0.000515704652561233,60,0,19,30,1.18,0.5242519016193501,0.0012694092659515377,0.846643181917015,0.0017971389062364507
QB4,60,48,8.0,-0.99,0.16,50,0,17,30,1.55,0.30571815449693274,0.0004751516500720032,50,0,16,30,0.84,0.422709353943651,0.0015343277024001956,0.7232348933013825,0.0025522691910170314
QB4,60,48,8.0,-1.01,0.16,50,0,14,30,1.52,0.21414422112121617,0.0004300640233621533,50,0,12,28,2.11,0.3733466720916211,0.002232762655167586,0.5735800989506722,0.0032688841703145677
QB4,60,48,8.0,-1.015,0.2,50,20,11,30,0.9,0.18561283211086205,0.0003922865787300833,50,40,11,25,2.01,0.3596038865833155,0.0028744868575547033,0.5161591379737716,0.003885857493235556
QB5,60,48,8.2,-0.95,0.2,50,0,20,30,0.76,0.2226467118078269,0.00047329276003815757,50,0,17,29,1.07,0.3297650021854782,0.0017629799457925532,0.6751678023206295,0.0034310583077152845
QB5,60,48,8.2,-0.956,0.2,50,0,18,30,1.12,0.19303776327088096,0.0004561026024765824,50,0,17,29,1.16,0.3113446499793952,0.0021947359748235584,0.6200131053597876,0.004293278743815354
QB5,60,48,8.2,-0.961,0.2,50,0,18,30,1.14,0.1648870515711185,0.0004891679420039319,50,0,17,29,1.16,0.2961049400039416,0.002851136235155871,0.5568534303038767,0.005266487466958902
