Baryon,beta,mPS_fix,w0mPS,M_CB,M_CB_err,F2,F2_err,F3,F3_err
Lambda,7.62,-0.79,0.4540564644100016,1.0364124517919642,0.00897400266225823,0.41772850152462415,0.019456840596153435,-0.11395569393292251,0.011825898070721652
Sigma,7.62,-0.79,0.4540564644100016,0.9024990618157409,0.006525726960154965,0.5735547082280255,0.012513054142404445,-0.18810676521835765,0.006852716212277177
SigmaS,7.62,-0.79,0.4540564644100016,1.1453022643057706,0.009994573051014033,0.38512740745389296,0.026703469811789338,-0.11600366022537147,0.01620181931931418
Lambda,7.62,-0.77,0.5442372401619522,1.0984982181300134,0.0076438589090332965,0.41285492517409395,0.013296524948172017,-0.11454721364877396,0.00787812115651465
Sigma,7.62,-0.77,0.5442372401619522,0.9798646330773864,0.005714556991101238,0.5336353463972942,0.010974259292304667,-0.17012240975313303,0.006604253866831666
SigmaS,7.62,-0.77,0.5442372401619522,1.206503996902717,0.008423639275546346,0.3405794074729477,0.017472892911145177,-0.08412788818585822,0.00988057336880252
Lambda,7.62,-0.75,0.6233885269756031,1.1594736837660011,0.007055903379673767,0.40543313232005884,0.011897424677226487,-0.11241757869839103,0.0068870571926287205
Sigma,7.62,-0.75,0.6233885269756031,1.0516195439642413,0.005529063184900984,0.5021425536125983,0.01027123262768126,-0.15393608796574493,0.005736173798414235
SigmaS,7.62,-0.75,0.6233885269756031,1.2569937419630006,0.011256293616393132,0.34376906942779917,0.025044928773556463,-0.08647259780251411,0.015013903613627075
Lambda,7.62,-0.73,0.6962319744478658,1.218699668721547,0.006956528403085027,0.3995118160571338,0.01100471079243559,-0.11074091883472711,0.006322789256958644
Sigma,7.62,-0.73,0.6962319744478658,1.1197673261350891,0.005262083056633449,0.4799384654873248,0.00943539753879541,-0.14328530925619246,0.005119948047142969
SigmaS,7.62,-0.73,0.6962319744478658,1.3079451291961073,0.01071352433196937,0.342224346993718,0.02276247096429901,-0.08582483444012236,0.01302527575201505
Lambda,7.62,-0.7,0.7971390354289866,1.3042607353146227,0.006615752925476226,0.39891988773490666,0.009505854462917962,-0.11276384442988191,0.005728489371441062
Sigma,7.62,-0.7,0.7971390354289866,1.2166301370313186,0.0050315520791768265,0.4576107039098684,0.008385889662294144,-0.13346887129605317,0.004892723634311785
SigmaS,7.62,-0.7,0.7971390354289866,1.3866566398599927,0.007727589548714331,0.3401822458262101,0.012468258809787691,-0.08549437149084321,0.007231369543127475
Lambda,7.7,-0.77,0.41007266561272454,1.0204097292674024,0.009332101728341424,0.4112095582344706,0.03240944895467357,-0.10983796664669113,0.020213639405689862
Sigma,7.7,-0.77,0.41007266561272454,0.8844299257187459,0.006491847327232736,0.5592060357655981,0.022757913443610223,-0.18005404290455662,0.015673279208618496
SigmaS,7.7,-0.77,0.41007266561272454,1.1456101819404223,0.012624055146874369,0.32168431073338166,0.025635126624205196,-0.07467953221391141,0.015009325877566593
Lambda,7.7,-0.76,0.4688472628929561,1.057929153062991,0.010220681753287497,0.39592211657861587,0.021066618278411664,-0.10203837042938316,0.012214244263666019
Sigma,7.7,-0.76,0.4688472628929561,0.9257799652270087,0.005491836228514013,0.565072004095242,0.011837904198552684,-0.18999790703250832,0.007029681845348745
SigmaS,7.7,-0.76,0.4688472628929561,1.178787643403942,0.012850237520299235,0.29393208182037933,0.035954857545801966,-0.05550987479109404,0.023884684228353492
Lambda,7.7,-0.74,0.5706309637452083,1.1279410002313819,0.008741893870620743,0.39337639884701686,0.022159256740071354,-0.10369819075438465,0.01395214395447121
Sigma,7.7,-0.74,0.5706309637452083,1.0107814664699777,0.005118542404868309,0.5255884153022397,0.012309781775409312,-0.16735746281462854,0.0077564693269241425
SigmaS,7.7,-0.74,0.5706309637452083,1.2312506746289116,0.010032803369518728,0.31334175743371956,0.031261379658736876,-0.06534250970398704,0.01926786168022865
Lambda,7.7,-0.72,0.6597622148004726,1.1950784060607393,0.006889627765975792,0.40155760228125115,0.02153747450773691,-0.11205721772150382,0.014742700784664595
Sigma,7.7,-0.72,0.6597622148004726,1.0928926465152773,0.005209293126749337,0.48945357204023576,0.012539410167553777,-0.1485948453901076,0.007846617449637522
SigmaS,7.7,-0.72,0.6597622148004726,1.2866124081520698,0.008517563957308738,0.3213981276051223,0.023590758584030924,-0.07015672741027701,0.015323561371233446
Lambda,7.85,-0.72,0.4569555626634327,1.068256890075955,0.012531468990969241,0.4059900818299891,0.021219757380412152,-0.10744901475873649,0.01083970722482061
Sigma,7.85,-0.72,0.4569555626634327,0.9434687962322601,0.005990814324537075,0.5121206119354815,0.00963105216272564,-0.1488621976429886,0.0045634830099530455
SigmaS,7.85,-0.72,0.4569555626634327,1.2085580821754212,0.012336394571375031,0.35958553009173305,0.022718174629622723,-0.09120422386011243,0.012190374073441673
Lambda,7.85,-0.7,0.5890250376854261,1.172721240998042,0.009329386513455606,0.369957612472526,0.01197539623759436,-0.08979207280021352,0.005326825699564566
Sigma,7.85,-0.7,0.5890250376854261,1.051269769628208,0.0051270285295454965,0.46419503345453017,0.005958684726205643,-0.1256253825769914,0.0028050571522670875
SigmaS,7.85,-0.7,0.5890250376854261,1.2885397862275436,0.009357986222461534,0.3299247871904375,0.012054850507122072,-0.07503578267045322,0.005829539077211968
Lambda,8.0,-0.68,0.5058566214641003,1.112763615318205,0.010202217232391897,0.36659265679512787,0.016830528832685987,-0.0873048637852119,0.0077819677097286655
Sigma,8.0,-0.68,0.5058566214641003,0.9795195090628859,0.0068928116466522305,0.4959495729286507,0.011708606374156383,-0.13753393697117072,0.005767869798488229
SigmaS,8.0,-0.68,0.5058566214641003,1.250788200561966,0.01083344571845557,0.30213378726714235,0.017290697557869106,-0.061388855536795066,0.008157339585629163
Lambda,8.0,-0.66,0.660042731641855,1.2263351827602258,0.0074697047524843185,0.3519553674791785,0.011034637166171035,-0.08122945896389042,0.004986321309974687
Sigma,8.0,-0.66,0.660042731641855,1.1100602012583711,0.005033431395977672,0.44603689699916604,0.006332279589586154,-0.11615040548800104,0.0027156344217906525
SigmaS,8.0,-0.66,0.660042731641855,1.3378650039086426,0.00842397870454148,0.30214658784394094,0.012164678182016775,-0.06222064093487814,0.005462834494342844
Lambda,8.0,-0.64,0.790790595777343,1.3385335282078978,0.007780830325924137,0.33299655104918485,0.008071109939257581,-0.07379870501361971,0.003454576797227299
Sigma,8.0,-0.64,0.790790595777343,1.2666910732584653,0.0042493882717127285,0.36043648986376925,0.0028626483959615645,-0.07987717646606315,0.001076676536873572
SigmaS,8.0,-0.64,0.790790595777343,1.425972960998066,0.012792592139196701,0.3001408760869605,0.013026864287155604,-0.061129936439855634,0.005202560955167301
