ENS,Nt,Ns,beta,f_bare mass,as_bare mass,Lambda_N_source,Lambda_N_sink,Lambda_ti,Lambda_tf,Sigma_N_source,Sigma_N_sink,Sigma_ti,Sigma_tf,SigmaS_N_source,SigmaS_N_sink,SigmaS_ti,SigmaS_tf
QB1,48,24,7.62,-0.7,-0.8,100,10,12,24,100,0,12,24,100,0,12,24
QB1,48,24,7.62,-0.73,-0.8,100,0,12,24,100,0,12,24,100,0,12,24
QB1,48,24,7.62,-0.75,-0.8,100,0,12,24,100,0,14,24,100,0,12,24
QB1,48,24,7.62,-0.77,-0.8,100,0,12,20,100,0,14,22,100,0,14,20
QB1,48,24,7.62,-0.79,-0.8,100,0,12,24,100,0,14,24,100,0,12,24
QB1,48,24,7.62,-0.7,-0.9,100,0,12,24,100,0,14,24,100,0,12,24
QB1,48,24,7.62,-0.73,-0.9,100,0,12,24,100,0,14,24,100,0,12,24
QB1,48,24,7.62,-0.75,-0.9,100,0,12,24,100,0,14,24,100,0,12,24
QB1,48,24,7.62,-0.77,-0.9,100,0,12,24,100,0,14,24,100,0,12,24
QB1,48,24,7.62,-0.79,-0.9,100,0,10,24,100,0,12,24,100,0,14,24
QB1,48,24,7.62,-0.7,-0.95,100,0,12,24,100,0,14,24,100,0,12,24
QB1,48,24,7.62,-0.73,-0.95,100,0,10,24,100,0,12,24,100,0,12,24
QB1,48,24,7.62,-0.75,-0.95,100,0,10,24,100,0,12,24,100,0,12,24
QB1,48,24,7.62,-0.77,-0.95,100,0,10,24,100,0,12,24,100,0,12,24
QB1,48,24,7.62,-0.79,-0.95,100,0,10,24,100,0,12,24,100,0,12,24
QB1,48,24,7.62,-0.7,-1.0,100,0,10,20,100,0,12,22,100,0,11,20
QB1,48,24,7.62,-0.73,-1.0,100,0,10,24,100,0,12,24,100,0,12,24
QB1,48,24,7.62,-0.75,-1.0,100,0,10,24,100,0,12,24,100,0,12,24
QB1,48,24,7.62,-0.77,-1.0,100,0,10,24,100,0,12,24,100,0,12,24
QB1,48,24,7.62,-0.79,-1.0,100,0,10,24,100,0,12,24,100,0,12,24
QB1,48,24,7.62,-0.7,-1.05,100,0,12,24,100,0,12,24,100,0,12,24
QB1,48,24,7.62,-0.73,-1.05,100,0,12,24,100,0,12,24,100,0,12,24
QB1,48,24,7.62,-0.75,-1.05,100,0,12,24,100,0,12,24,100,0,12,24
QB1,48,24,7.62,-0.77,-1.05,100,0,12,24,100,0,12,24,100,0,12,24
QB1,48,24,7.62,-0.79,-1.05,100,0,12,24,100,0,12,24,100,0,12,24
QB1,48,24,7.62,-0.7,-1.1,100,0,10,20,100,0,12,22,100,0,10,20
QB1,48,24,7.62,-0.73,-1.1,100,0,10,20,100,0,12,22,100,0,10,20
QB1,48,24,7.62,-0.75,-1.1,100,0,10,20,100,0,12,22,100,0,10,20
QB1,48,24,7.62,-0.77,-1.1,100,0,10,20,100,0,12,22,100,0,10,20
QB1,48,24,7.62,-0.79,-1.1,100,0,10,20,100,0,12,22,100,0,10,20
QB1,48,24,7.62,-0.77,-1.12,60,0,10,22,60,0,12,24,60,0,12,20
QB1,48,24,7.62,-0.78,-1.12,60,0,10,22,60,0,12,24,60,0,12,20
QB1,48,24,7.62,-0.79,-1.12,60,0,10,22,60,0,12,24,60,0,12,20
QB1,48,24,7.62,-0.77,-1.14,60,0,10,22,60,0,12,24,60,0,11,20
QB1,48,24,7.62,-0.78,-1.14,60,0,10,22,60,0,12,24,60,0,11,20
QB1,48,24,7.62,-0.79,-1.14,60,0,10,20,60,0,12,22,60,0,11,20
QB1,48,24,7.62,-0.7,-1.15,100,0,10,20,100,0,12,22,100,0,11,20
QB1,48,24,7.62,-0.73,-1.15,100,0,10,20,100,0,12,22,100,0,14,20
QB1,48,24,7.62,-0.75,-1.15,100,0,10,20,100,0,12,22,100,0,14,20
QB1,48,24,7.62,-0.77,-1.15,100,0,10,20,100,0,12,22,100,0,10,20
QB1,48,24,7.62,-0.79,-1.15,100,0,10,20,100,0,12,22,100,0,11,20
QB2,60,48,7.7,-0.7,-0.89,50,0,17,29,50,0,17,28,50,0,17,25
QB2,60,48,7.7,-0.72,-0.89,50,0,17,29,50,0,17,28,50,0,17,25
QB2,60,48,7.7,-0.74,-0.89,50,0,15,29,50,0,17,28,50,0,17,25
QB2,60,48,7.7,-0.77,-0.89,50,0,15,29,50,0,17,28,50,0,17,25
QB2,60,48,7.7,-0.72,-0.91,50,0,14,27,50,0,14,30,50,0,16,25
QB2,60,48,7.7,-0.74,-0.91,50,0,14,27,50,0,14,28,50,0,16,25
QB2,60,48,7.7,-0.77,-0.91,50,0,14,27,50,0,14,28,50,0,16,25
QB2,60,48,7.7,-0.72,-0.92,50,0,14,27,50,0,14,28,50,0,16,25
QB2,60,48,7.7,-0.74,-0.92,50,0,14,27,50,0,14,28,50,0,16,25
QB2,60,48,7.7,-0.77,-0.92,50,0,14,27,50,0,14,28,50,0,16,25
QB2,60,48,7.7,-0.7,-0.93,50,0,17,28,50,0,17,29,50,0,17,26
QB2,60,48,7.7,-0.72,-0.93,50,0,14,25,50,0,14,27,50,0,17,26
QB2,60,48,7.7,-0.74,-0.93,50,0,14,25,50,0,14,27,50,0,17,26
QB2,60,48,7.7,-0.76,-0.93,50,0,14,26,50,0,14,26,50,0,17,24
QB2,60,48,7.7,-0.77,-0.93,50,0,14,25,50,0,14,27,50,0,17,24
QB2,60,48,7.7,-0.76,-0.97,50,0,14,26,50,0,14,26,50,0,17,24
QB2,60,48,7.7,-0.76,-1.01,50,0,13,26,50,0,14,26,50,0,17,25
QB2,60,48,7.7,-0.72,-1.09,50,0,12,22,50,0,14,24,50,0,16,25
QB2,60,48,7.7,-0.74,-1.09,50,0,12,22,50,0,14,24,50,0,16,25
QB2,60,48,7.7,-0.76,-1.09,50,0,12,22,50,0,14,24,50,0,16,25
QB2,60,48,7.7,-0.72,-1.1,50,0,12,23,50,0,17,24,50,0,16,26
QB2,60,48,7.7,-0.74,-1.1,50,0,12,23,50,0,17,24,50,0,16,26
QB2,60,48,7.7,-0.76,-1.1,50,0,12,23,50,0,14,26,50,0,16,25
QB2,60,48,7.7,-0.77,-1.1,50,0,9,22,50,0,14,28,50,0,12,23
QB2,60,48,7.7,-0.72,-1.11,50,0,12,23,50,0,18,25,50,0,16,24
QB2,60,48,7.7,-0.74,-1.11,50,0,12,23,50,0,14,26,50,0,14,23
QB2,60,48,7.7,-0.76,-1.11,50,0,12,23,50,0,14,26,50,0,14,23
QB2,60,48,7.7,-0.77,-1.11,50,0,9,22,50,0,14,28,50,0,12,23
QB2,60,48,7.7,-0.72,-1.12,50,0,12,23,50,0,14,26,50,0,12,23
QB2,60,48,7.7,-0.74,-1.12,50,0,12,23,50,0,14,26,50,0,12,23
QB2,60,48,7.7,-0.76,-1.12,50,0,12,23,50,0,14,26,50,0,12,23
QB2,60,48,7.7,-0.77,-1.12,50,0,9,22,50,0,14,28,50,0,12,23
QB3,60,48,7.85,-0.66,-0.85,50,0,19,27,50,0,19,29,50,0,16,30
QB3,60,48,7.85,-0.68,-0.85,50,0,17,30,50,0,16,30,50,0,16,28
QB3,60,48,7.85,-0.7,-0.85,50,0,17,25,50,0,16,27,50,0,18,28
QB3,60,48,7.85,-0.72,-0.85,50,0,17,25,50,0,16,27,50,0,18,28
QB3,60,48,7.85,-0.66,-0.87,50,0,17,25,50,0,16,27,50,0,18,28
QB3,60,48,7.85,-0.68,-0.87,50,0,17,25,50,0,16,27,50,0,18,28
QB3,60,48,7.85,-0.7,-0.87,50,0,17,25,50,0,16,27,50,0,18,28
QB3,60,48,7.85,-0.72,-0.87,50,0,17,25,50,0,16,27,50,0,18,28
QB3,60,48,7.85,-0.66,-0.9,50,0,17,27,50,0,16,29,50,0,16,30
QB3,60,48,7.85,-0.68,-0.9,50,0,17,27,50,0,16,29,50,0,16,30
QB3,60,48,7.85,-0.7,-0.9,50,0,17,27,50,0,16,29,50,0,16,30
QB3,60,48,7.85,-0.72,-0.9,50,0,17,25,50,0,16,25,50,0,16,26
QB3,60,48,7.85,-0.66,-0.93,50,0,17,25,50,0,16,27,50,0,18,28
QB3,60,48,7.85,-0.68,-0.93,50,0,17,25,50,0,16,27,50,0,18,28
QB3,60,48,7.85,-0.7,-0.93,50,0,17,25,50,0,16,27,50,0,18,28
QB3,60,48,7.85,-0.72,-0.93,50,0,17,25,50,0,16,27,50,0,18,28
QB3,60,48,7.85,-0.72,-0.97,50,0,17,25,50,0,16,27,50,0,18,28
QB3,60,48,7.85,-0.73,-0.97,50,0,17,25,50,0,16,27,50,0,18,28
QB3,60,48,7.85,-0.72,-0.99,50,0,17,25,50,0,16,27,50,0,18,28
QB3,60,48,7.85,-0.73,-0.99,50,0,17,25,50,0,16,27,50,0,18,28
QB3,60,48,7.85,-0.72,-1.01,50,0,17,25,50,0,16,27,50,0,18,28
QB3,60,48,7.85,-0.73,-1.01,50,0,17,25,50,0,16,27,50,0,18,28
QB3,60,48,7.85,-0.72,-1.03,50,0,17,25,50,0,16,27,50,0,18,28
QB3,60,48,7.85,-0.73,-1.03,50,0,17,25,50,0,16,27,50,0,18,28
QB3,60,48,7.85,-0.7,-1.04,50,0,17,25,50,0,17,27,50,0,15,27
QB3,60,48,7.85,-0.71,-1.04,50,0,17,25,50,0,17,27,50,0,15,27
QB3,60,48,7.85,-0.72,-1.04,50,0,17,25,50,0,17,27,50,0,15,27
QB3,60,48,7.85,-0.7,-1.05,50,0,16,25,50,0,17,27,50,0,16,27
QB3,60,48,7.85,-0.71,-1.05,50,0,16,25,50,0,17,27,50,0,16,27
QB3,60,48,7.85,-0.72,-1.05,50,0,16,25,50,0,17,27,50,0,16,27
QB3,60,48,7.85,-0.7,-1.06,50,0,16,30,50,0,16,30,50,0,16,28
QB3,60,48,7.85,-0.71,-1.06,50,0,16,30,50,0,16,30,50,0,16,28
QB3,60,48,7.85,-0.72,-1.06,50,0,16,30,50,0,16,30,50,0,16,28
QB4,60,48,8.0,-0.6,-0.81,100,0,20,29,100,0,20,30,100,0,19,30
QB4,60,48,8.0,-0.62,-0.81,60,0,20,30,60,0,20,30,60,0,19,30
QB4,60,48,8.0,-0.64,-0.81,60,0,20,30,60,0,20,30,60,0,19,30
QB4,60,48,8.0,-0.66,-0.81,50,0,19,30,50,0,20,30,50,0,20,30
QB4,60,48,8.0,-0.68,-0.81,50,0,19,27,50,0,20,27,50,0,20,30
QB4,60,48,8.0,-0.69,-0.81,50,0,17,27,50,0,19,27,50,0,20,30
QB4,60,48,8.0,-0.7,-0.81,50,0,16,27,50,0,17,25,50,0,19,27
QB4,60,48,8.0,-0.62,-0.82,60,0,20,30,60,0,20,30,60,0,19,30
QB4,60,48,8.0,-0.64,-0.82,60,0,20,30,60,0,20,30,60,0,19,30
QB4,60,48,8.0,-0.68,-0.82,60,0,19,27,60,0,19,27,60,0,19,30
QB4,60,48,8.0,-0.7,-0.82,50,0,16,27,50,0,17,25,50,0,19,27
QB4,60,48,8.0,-0.62,-0.84,60,0,20,30,60,0,20,30,60,0,19,30
QB4,60,48,8.0,-0.64,-0.84,60,0,20,30,60,0,20,30,60,0,19,30
QB4,60,48,8.0,-0.68,-0.84,60,0,19,27,60,0,19,27,60,0,19,30
QB4,60,48,8.0,-0.7,-0.84,50,0,16,27,50,0,17,25,50,0,19,27
QB4,60,48,8.0,-0.64,-0.91,60,0,20,30,60,0,20,29,60,0,22,30
QB4,60,48,8.0,-0.66,-0.91,100,0,19,29,100,0,20,29,100,0,19,30
QB4,60,48,8.0,-0.64,-0.93,60,0,20,30,60,0,20,29,60,0,22,30
QB4,60,48,8.0,-0.66,-0.93,100,0,19,29,100,0,20,29,100,0,19,30
QB4,60,48,8.0,-0.64,-0.95,60,0,20,26,60,0,20,29,60,0,22,26
QB4,60,48,8.0,-0.66,-0.95,100,0,20,28,100,0,20,29,100,0,19,30
QB4,60,48,8.0,-0.66,-0.99,50,0,18,29,50,0,20,30,50,0,18,27
QB4,60,48,8.0,-0.68,-0.99,50,0,18,29,50,0,20,30,50,0,18,27
QB4,60,48,8.0,-0.66,-1.01,50,0,17,30,50,0,20,30,50,0,18,26
QB4,60,48,8.0,-0.68,-1.01,50,0,17,30,50,0,20,30,50,0,18,26
QB4,60,48,8.0,-0.66,-1.015,50,0,18,29,50,0,21,30,50,0,18,26
QB4,60,48,8.0,-0.67,-1.015,50,0,18,29,50,0,21,30,50,0,19,26
QB4,60,48,8.0,-0.68,-1.015,50,0,18,29,50,0,21,30,50,0,17,26
QB4,60,48,8.0,-0.69,-1.015,50,0,18,29,50,0,21,30,50,0,18,25
QB5,60,48,8.2,-0.62,-0.95,50,20,20,30,50,20,20,30,50,0,21,30
QB5,60,48,8.2,-0.64,-0.95,50,20,20,30,50,20,20,29,50,0,21,30
QB5,60,48,8.2,-0.646,-0.95,50,20,20,30,50,20,20,29,50,0,21,30
QB5,60,48,8.2,-0.62,-0.956,50,20,20,30,50,20,20,29,50,0,21,30
QB5,60,48,8.2,-0.64,-0.956,50,20,20,30,50,20,20,29,50,0,21,30
QB5,60,48,8.2,-0.646,-0.956,50,20,20,30,50,20,20,29,50,0,21,30
QB5,60,48,8.2,-0.62,-0.961,50,0,22,30,50,0,23,29,50,0,21,30
QB5,60,48,8.2,-0.64,-0.961,50,0,22,30,50,0,23,29,50,0,21,30
QB5,60,48,8.2,-0.646,-0.961,50,0,22,30,50,0,23,29,50,0,21,30
